Title,abstract,Processed_Title,Processed_Abstract
One More Revolution to Make: Free Scientific Publishing,"Computer scientists are in the position to create new, free high-quality journals. So what would it take?",one revolution make free scientific publishing,computer scientists position create new free highquality journals would take
ENUM: The Collision of Telephony and DNS Policy,"ENUM marks either the convergence or collision of the public telephone network with the Internet. ENUM is an innovation in the domain name system (DNS). It starts with numerical domain names that are used to query DNS name servers. The servers respond with address information found in DNS records. This can be telephone numbers, email addresses, fax numbers, SIP addresses, or other information. The concept is to use a single number in order to obtain a plethora of contact information.   By convention, the Internet Engineering Task Force (IETF) ENUM Working Group determined that an ENUM number would be the same numerical string as a telephone number. In addition, the assignee of an ENUM number would be the assignee of that telephone number. But ENUM could work with any numerical string or, in fact, any domain name. The IETF is already working on using E.212 numbers with ENUM. [Abridged]",enum collision telephony dns policy,enum marks either convergence collision public telephone network internet enum innovation domain name system dns starts numerical domain names used query dns name servers servers respond address information found dns records telephone numbers email addresses fax numbers sip addresses information concept use single number order obtain plethora contact information convention internet engineering task force ietf enum working group determined enum number would numerical string telephone number addition assignee enum number would assignee telephone number enum could work numerical string fact domain name ietf already working using e numbers enum abridged
Edsger Wybe Dijkstra (1930 -- 2002): A Portrait of a Genius,"We discuss the scientific contributions of Edsger Wybe Dijkstra, his opinions and his legacy.",edsger wybe dijkstra portrait genius,discuss scientific contributions edsger wybe dijkstra opinions legacy
Classical and Nonextensive Information Theory,"In this work we firstly review some results in Classical Information Theory. Next, we try to generalize these results by using the Tsallis entropy. We present a preliminary result and discuss our aims in this field.",classical nonextensive information theory,work firstly review results classical information theory next try generalize results using tsallis entropy present preliminary result discuss aims field
The pre-history of quantum computation,The main ideas behind developments in the theory and technology of quantum computation were formulated in the late 1970s and early 1980s by two physicists in the West and a mathematician in the former Soviet Union. It is not generally known in the West that the subject has roots in the Russian technical literature. The author hopes to present as impartial a synthesis as possible of the early history of thought on this subject. The role of reversible and irreversible computational processes is examined briefly as it relates to the origins of quantum computing and the so-called Information Paradox in physics.,prehistory quantum computation,main ideas behind developments theory technology quantum computation formulated late early two physicists west mathematician former soviet union generally known west subject roots russian technical literature author hopes present impartial synthesis possible early history thought subject role reversible irreversible computational processes examined briefly relates origins quantum computing socalled information paradox physics
Some first thoughts on the stability of the asynchronous systems,"The (non-initialized, non-deterministic) asynchronous systems (in the input-output sense) are multi-valued functions from m-dimensional signals to sets of n-dimensional signals, the concept being inspired by the modeling of the asynchronous circuits. Our purpose is to state the problem of the their stability.",first thoughts stability asynchronous systems,noninitialized nondeterministic asynchronous systems inputoutput sense multivalued functions mdimensional signals sets ndimensional signals concept inspired modeling asynchronous circuits purpose state problem stability
The equations of the ideal latches,"The latches are simple circuits with feedback from the digital electrical engineering. We have included in our work the C element of Muller, the RS latch, the clocked RS latch, the D latch and also circuits containing two interconnected latches: the edge triggered RS flip-flop, the D flip-flop, the JK flip-flop, the T flip-flop. The purpose of this study is to model with equations the previous circuits, considered to be ideal, i.e. non-inertial. The technique of analysis is the pseudoboolean differential calculus.",equations ideal latches,latches simple circuits feedback digital electrical engineering included work c element muller rs latch clocked rs latch latch also circuits containing two interconnected latches edge triggered rs flipflop flipflop jk flipflop flipflop purpose study model equations previous circuits considered ideal ie noninertial technique analysis pseudoboolean differential calculus
Real Time Models of the Asynchronous Circuits: The Delay Theory,"The chapter from the book introduces the delay theory, whose purpose is the modeling of the asynchronous circuits from digital electrical engineering with ordinary and differential pseudo-boolean equations.",real time models asynchronous circuits delay theory,chapter book introduces delay theory whose purpose modeling asynchronous circuits digital electrical engineering ordinary differential pseudoboolean equations
Methods for scaling a large member base,"The technical challenges of scaling websites with large and growing member bases, like social networking sites, are numerous. One of these challenges is how to evenly distribute the growing member base across all available resources. This paper will explore various methods that address this issue. The techniques used in this paper can be generalized and applied to various other problems that need to distribute data evenly amongst a finite amount of resources.",methods scaling large member base,technical challenges scaling websites large growing member bases like social networking sites numerous one challenges evenly distribute growing member base across available resources paper explore various methods address issue techniques used paper generalized applied various problems need distribute data evenly amongst finite amount resources
Ten Incredibly Dangerous Software Ideas,This is a rough draft synopsis of a book presently in preparation. This book provides a systematic critique of the software industry. This critique is accomplished using classical methods in practical design science.,ten incredibly dangerous software ideas,rough draft synopsis book presently preparation book provides systematic critique software industry critique accomplished using classical methods practical design science
The intersection and the union of the asynchronous systems,"The asynchronous systems $f$ are the models of the asynchronous circuits from digital electrical engineering. They are multi-valued functions that associate to each input $u:\mathbf{R}\to \{0,1\}^{m}$ a set of states $x\in f(u),$ where $x:\mathbf{R}\to \{0,1\}^{n}.$ The intersection of the systems allows adding supplementary conditions in modeling and the union of the systems allows considering the validity of one of two systems in modeling, for example when testing the asynchronous circuits and the circuit is supposed to be 'good' or 'bad'. The purpose of the paper is that of analyzing the intersection and the union against the initial/final states, initial/final time, initial/final state functions, subsystems, dual systems, inverse systems, Cartesian product of systems, parallel connection and serial connection of systems.",intersection union asynchronous systems,asynchronous systems f models asynchronous circuits digital electrical engineering multivalued functions associate input umathbfrto set states xin fu xmathbfrto n intersection systems allows adding supplementary conditions modeling union systems allows considering validity one two systems modeling example testing asynchronous circuits circuit supposed good bad purpose paper analyzing intersection union initialfinal states initialfinal time initialfinal state functions subsystems dual systems inverse systems cartesian product systems parallel connection serial connection systems
"Recruitment, Preparation, Retention: A case study of computing culture   at the University of Illinois at Urbana-Champaign","Computer science is seeing a decline in enrollment at all levels of education, including undergraduate and graduate study. This paper reports on the results of a study conducted at the University of Illinois at Urbana-Champaign which evaluated students attitudes regarding three areas which can contribute to improved enrollment in the Department of Computer Science: Recruitment, preparation and retention. The results of our study saw two themes. First, the department's tight research focus appears to draw significant attention from other activities -- such as teaching, service, and other community-building activities -- that are necessary for a department's excellence. Yet, as demonstrated by our second theme, one partial solution is to better promote such activities already employed by the department to its students and faculty. Based on our results, we make recommendations for improvements and enhancements based on the current state of practice at peer institutions.",recruitment preparation retention case study computing culture university illinois urbanachampaign,computer science seeing decline enrollment levels education including undergraduate graduate study paper reports results study conducted university illinois urbanachampaign evaluated students attitudes regarding three areas contribute improved enrollment department computer science recruitment preparation retention results study saw two themes first departments tight research focus appears draw significant attention activities teaching service communitybuilding activities necessary departments excellence yet demonstrated second theme one partial solution better promote activities already employed department students faculty based results make recommendations improvements enhancements based current state practice peer institutions
"Motivation, Design, and Ubiquity: A Discussion of Research Ethics and   Computer Science","Modern society is permeated with computers, and the software that controls them can have latent, long-term, and immediate effects that reach far beyond the actual users of these systems. This places researchers in Computer Science and Software Engineering in a critical position of influence and responsibility, more than any other field because computer systems are vital research tools for other disciplines. This essay presents several key ethical concerns and responsibilities relating to research in computing. The goal is to promote awareness and discussion of ethical issues among computer science researchers. A hypothetical case study is provided, along with questions for reflection and discussion.",motivation design ubiquity discussion research ethics computer science,modern society permeated computers software controls latent longterm immediate effects reach far beyond actual users systems places researchers computer science software engineering critical position influence responsibility field computer systems vital research tools disciplines essay presents several key ethical concerns responsibilities relating research computing goal promote awareness discussion ethical issues among computer science researchers hypothetical case study provided along questions reflection discussion
Stop That Subversive Spreadsheet!,This paper documents the formation of the European Spreadsheet Risks Interest Group (EuSpRIG www.eusprig.org) and outlines some of the research undertaken and reported upon by interested parties in EuSpRIG publications,stop subversive spreadsheet,paper documents formation european spreadsheet risks interest group eusprig wwweusprigorg outlines research undertaken reported upon interested parties eusprig publications
The equations of the ideal latches,"The latches are simple circuits with feedback from the digital electrical engineering. We have included in our work the C element of Muller, the RS latch, the clocked RS latch, the D latch and also circuits containing two interconnected latches: the edge triggered RS flip-flop, the D flip-flop, the JK flip-flop, the T flip-flop. The purpose of this study is to model with equations the previous circuits, considered to be ideal, i.e. non-inertial. The technique of analysis is the pseudoboolean differential calculus.",equations ideal latches,latches simple circuits feedback digital electrical engineering included work c element muller rs latch clocked rs latch latch also circuits containing two interconnected latches edge triggered rs flipflop flipflop jk flipflop flipflop purpose study model equations previous circuits considered ideal ie noninertial technique analysis pseudoboolean differential calculus
The non-anticipation of the asynchronous systems,The asynchronous systems are the models of the asynchronous circuits from the digital electrical engineering and non-anticipation is one of the most important properties in systems theory. Our present purpose is to introduce several concepts of non-anticipation of the asynchronous systems.,nonanticipation asynchronous systems,asynchronous systems models asynchronous circuits digital electrical engineering nonanticipation one important properties systems theory present purpose introduce several concepts nonanticipation asynchronous systems
Design and Implementation of a Master of Science in Information and   Computer Sciences - An Inventory and retrospect for the last four years,"This Master of Science in Computer and Information Sciences (MICS) is an international accredited master program that has been initiated in 2004 and started in September 2005. MICS is a research-oriented academic study of 4 semesters and a continuation of the Bachelor towards the PhD. It is completely taught in English, supported by lecturers coming from more than ten different countries. This report compass a description of its underlying architecture, describes some implementation details and gives a presentation of diverse experiences and results. As the program has been designed and implemented right after the creation of the University, the significance of the program is moreover a self-discovery of the computer science department, which has finally led to the creation of the today's research institutes and research axes.",design implementation master science information computer sciences inventory retrospect last four years,master science computer information sciences mics international accredited master program initiated started september mics researchoriented academic study semesters continuation bachelor towards phd completely taught english supported lecturers coming ten different countries report compass description underlying architecture describes implementation details gives presentation diverse experiences results program designed implemented right creation university significance program moreover selfdiscovery computer science department finally led creation todays research institutes research axes
Modeling Time in Computing: A Taxonomy and a Comparative Survey,"The increasing relevance of areas such as real-time and embedded systems, pervasive computing, hybrid systems control, and biological and social systems modeling is bringing a growing attention to the temporal aspects of computing, not only in the computer science domain, but also in more traditional fields of engineering.   This article surveys various approaches to the formal modeling and analysis of the temporal features of computer-based systems, with a level of detail that is suitable also for non-specialists. In doing so, it provides a unifying framework, rather than just a comprehensive list of formalisms.   The paper first lays out some key dimensions along which the various formalisms can be evaluated and compared. Then, a significant sample of formalisms for time modeling in computing are presented and discussed according to these dimensions. The adopted perspective is, to some extent, historical, going from ""traditional"" models and formalisms to more modern ones.",modeling time computing taxonomy comparative survey,increasing relevance areas realtime embedded systems pervasive computing hybrid systems control biological social systems modeling bringing growing attention temporal aspects computing computer science domain also traditional fields engineering article surveys various approaches formal modeling analysis temporal features computerbased systems level detail suitable also nonspecialists provides unifying framework rather comprehensive list formalisms paper first lays key dimensions along various formalisms evaluated compared significant sample formalisms time modeling computing presented discussed according dimensions adopted perspective extent historical going traditional models formalisms modern ones
Free and Open Source Software for Development,"Development organizations and International Non-Governmental Organizations have been emphasizing the high potential of Free and Open Source Software for the Less Developed Countries. Cost reduction, less vendor dependency and increased potential for local capacity development have been their main arguments. In spite of its advantages, Free and Open Source Software is not widely adopted at the African continent. In this book the authors will explore the grounds on with these expectations are based. Where do they come from and is there evidence to support these expectations? Over the past years several projects have been initiated and some good results have been achieved, but at the same time many challenges were encountered. What lessons can be drawn from these experiences and do these experiences contain enough evidence to support the high expectations? Several projects and their achievements will be considered. In the final part of the book the future of Free and Open Source Software for Development will be explored. Special attention is given to the African continent since here challenges are highest. What is the role of Free and open Source Software for Development and how do we need to position and explore the potential? What are the threats? The book aims at professionals that are engaged in the design and implementation of ICT for Development (ICT4D) projects and want to improve their understanding of the role Free and Open Source Software can play.",free open source software development,development organizations international nongovernmental organizations emphasizing high potential free open source software less developed countries cost reduction less vendor dependency increased potential local capacity development main arguments spite advantages free open source software widely adopted african continent book authors explore grounds expectations based come evidence support expectations past years several projects initiated good results achieved time many challenges encountered lessons drawn experiences experiences contain enough evidence support high expectations several projects achievements considered final part book future free open source software development explored special attention given african continent since challenges highest role free open source software development need position explore potential threats book aims professionals engaged design implementation ict development ictd projects want improve understanding role free open source software play
A Dialogue Concerning Two World Systems: Info-Computational vs.   Mechanistic,"The dialogue develops arguments for and against adopting a new world system, info-computationalist naturalism, that is poised to replace the traditional mechanistic world system. We try to figure out what the info-computational paradigm would mean, in particular its pancomputationalism. We make some steps towards developing the notion of computing that is necessary here, especially in relation to traditional notions. We investigate whether pancomputationalism can possibly provide the basic causal structure to the world, whether the overall research programme appears productive and whether it can revigorate computationalism in the philosophy of mind.",dialogue concerning two world systems infocomputational vs mechanistic,dialogue develops arguments adopting new world system infocomputationalist naturalism poised replace traditional mechanistic world system try figure infocomputational paradigm would mean particular pancomputationalism make steps towards developing notion computing necessary especially relation traditional notions investigate whether pancomputationalism possibly provide basic causal structure world whether overall research programme appears productive whether revigorate computationalism philosophy mind
Making Sense of the Evolution of a Scientific Domain: A Visual Analytic   Study of the Sloan Digital Sky Survey Research,"We introduce a new visual analytic approach to the study of scientific discoveries and knowledge diffusion. Our approach enhances contemporary co-citation network analysis by enabling analysts to identify co-citation clusters of cited references intuitively, synthesize thematic contexts in which these clusters are cited, and trace how research focus evolves over time. The new approach integrates and streamlines a few previously isolated techniques such as spectral clustering and feature selection algorithms. The integrative procedure is expected to empower and strengthen analytical and sense making capabilities of scientists, learners, and researchers to understand the dynamics of the evolution of scientific domains in a wide range of scientific fields, science studies, and science policy evaluation and planning. We demonstrate the potential of our approach through a visual analysis of the evolution of astronomical research associated with the Sloan Digital Sky Survey (SDSS) using bibliographic data between 1994 and 2008. In addition, we also demonstrate that the approach can be consistently applied to a set of heterogeneous data sources such as e-prints on arXiv, publications on ADS, and NSF awards related to the same topic of SDSS.",making sense evolution scientific domain visual analytic study sloan digital sky survey research,introduce new visual analytic approach study scientific discoveries knowledge diffusion approach enhances contemporary cocitation network analysis enabling analysts identify cocitation clusters cited references intuitively synthesize thematic contexts clusters cited trace research focus evolves time new approach integrates streamlines previously isolated techniques spectral clustering feature selection algorithms integrative procedure expected empower strengthen analytical sense making capabilities scientists learners researchers understand dynamics evolution scientific domains wide range scientific fields science studies science policy evaluation planning demonstrate potential approach visual analysis evolution astronomical research associated sloan digital sky survey sdss using bibliographic data addition also demonstrate approach consistently applied set heterogeneous data sources eprints arxiv publications ads nsf awards related topic sdss
Removing Barriers to Interdisciplinary Research,"A significant amount of high-impact contemporary scientific research occurs where biology, computer science, engineering and chemistry converge. Although programmes have been put in place to support such work, the complex dynamics of interdisciplinarity are still poorly understood. In this paper we interrogate the nature of interdisciplinary research and how we might measure its ""success"", identify potential barriers to its implementation, and suggest possible mechanisms for removing these impediments.",removing barriers interdisciplinary research,significant amount highimpact contemporary scientific research occurs biology computer science engineering chemistry converge although programmes put place support work complex dynamics interdisciplinarity still poorly understood paper interrogate nature interdisciplinary research might measure success identify potential barriers implementation suggest possible mechanisms removing impediments
On the serial connection of the regular asynchronous systems,"The asynchronous systems f are multi-valued functions, representing the non-deterministic models of the asynchronous circuits from the digital electrical engineering. In real time, they map an 'admissible input' function u:R\rightarrow{0,1}^{m} to a set f(u) of 'possible states' x\inf(u), where x:R\rightarrow{0,1}^{m}. When f is defined by making use of a 'generator function' {\Phi}:{0,1}^{n}\times{0,1}^{m}\rightarrow{0,1}^{n}, the system is called regular. The usual definition of the serial connection of systems as composition of multi-valued functions does not bring the regular systems into regular systems, thus the first issue in this study is to modify in an acceptable manner the definition of the serial connection in a way that matches regularity. This intention was expressed for the first time, without proving the regularity of the serial connection of systems, in a previous work. Our present purpose is to restate with certain corrections and prove that result.",serial connection regular asynchronous systems,asynchronous systems f multivalued functions representing nondeterministic models asynchronous circuits digital electrical engineering real time map admissible input function urrightarrowm set fu possible states xinfu xrrightarrowm f defined making use generator function phintimesmrightarrown system called regular usual definition serial connection systems composition multivalued functions bring regular systems regular systems thus first issue study modify acceptable manner definition serial connection way matches regularity intention expressed first time without proving regularity serial connection systems previous work present purpose restate certain corrections prove result
Info-Computationalism and Philosophical Aspects of Research in   Information Sciences,"The historical development has lead to the decay of Natural Philosophy which until 19th century included all of our knowledge about the physical world into the growing multitude of specialized sciences. The focus on the in-depth enquiry disentangled from its broad context lead to the problem of loss of common world-view and impossibility of communication between specialist research fields because of different languages they developed in isolation. The need for a new unifying framework is becoming increasingly apparent with the information technology enabling and intensifying the communication between different research fields and knowledge communities. This time, not only natural sciences, but also all of human knowledge is being integrated in a global network such as Internet with its diverse knowledge and language communities. Info-computationalism (ICON) as a synthesis of pancomputationalism and paninformationalism presents a unifying framework for understanding of natural phenomena including living beings and their cognition, their ways of processing information and producing knowledge. Within ICON physical universe is understood as a network of computational processes on an informational structure.",infocomputationalism philosophical aspects research information sciences,historical development lead decay natural philosophy th century included knowledge physical world growing multitude specialized sciences focus indepth enquiry disentangled broad context lead problem loss common worldview impossibility communication specialist research fields different languages developed isolation need new unifying framework becoming increasingly apparent information technology enabling intensifying communication different research fields knowledge communities time natural sciences also human knowledge integrated global network internet diverse knowledge language communities infocomputationalism icon synthesis pancomputationalism paninformationalism presents unifying framework understanding natural phenomena including living beings cognition ways processing information producing knowledge within icon physical universe understood network computational processes informational structure
